Time,Value
11/29/2016 5:42:05 AM,73
11/29/2016 5:42:20 AM,73
11/29/2016 5:42:35 AM,73
11/29/2016 5:42:50 AM,73
11/29/2016 5:43:05 AM,73
11/29/2016 5:43:20 AM,73
11/29/2016 5:43:35 AM,73
11/29/2016 5:43:50 AM,73
11/29/2016 5:44:05 AM,73
11/29/2016 5:44:20 AM,73
11/29/2016 5:44:35 AM,73
11/29/2016 5:44:50 AM,73
11/29/2016 5:45:05 AM,73
11/29/2016 5:45:20 AM,73
11/29/2016 5:45:35 AM,73
11/29/2016 5:45:50 AM,73
11/29/2016 5:46:05 AM,73
11/29/2016 5:46:20 AM,73
11/29/2016 5:46:35 AM,73
11/29/2016 5:46:50 AM,73
11/29/2016 5:47:05 AM,73
11/29/2016 5:47:20 AM,73
11/29/2016 5:47:35 AM,73
11/29/2016 5:47:40 AM,73
11/29/2016 5:47:55 AM,73
11/29/2016 5:48:10 AM,73
11/29/2016 5:48:25 AM,73
11/29/2016 5:48:40 AM,73
11/29/2016 5:48:55 AM,73
11/29/2016 5:49:10 AM,73
11/29/2016 5:49:25 AM,73
11/29/2016 5:58:30 AM,71
11/29/2016 5:58:40 AM,72
11/29/2016 5:58:45 AM,74
11/29/2016 5:59:00 AM,74
11/29/2016 5:59:15 AM,74
11/29/2016 5:59:30 AM,74
11/29/2016 5:59:45 AM,74
11/29/2016 5:59:50 AM,74
11/29/2016 6:00:05 AM,74
11/29/2016 6:00:20 AM,77
11/29/2016 6:00:30 AM,78
11/29/2016 6:00:45 AM,78
11/29/2016 6:01:00 AM,78
11/29/2016 6:01:15 AM,78
11/29/2016 6:01:20 AM,79
11/29/2016 6:01:35 AM,79
11/29/2016 6:01:50 AM,79
11/29/2016 6:02:05 AM,79
11/29/2016 6:02:20 AM,81
11/29/2016 6:02:25 AM,83
11/29/2016 6:02:40 AM,83
11/29/2016 6:02:55 AM,83
11/29/2016 6:03:10 AM,83
11/29/2016 6:03:20 AM,83
11/29/2016 6:03:30 AM,83
11/29/2016 6:03:45 AM,83
11/29/2016 6:03:50 AM,85
11/29/2016 6:04:05 AM,85
11/29/2016 6:04:20 AM,85
11/29/2016 6:04:35 AM,85
11/29/2016 6:04:50 AM,85
11/29/2016 6:05:05 AM,85
11/29/2016 6:05:20 AM,85
11/29/2016 6:05:35 AM,85
11/29/2016 6:05:50 AM,85
11/29/2016 6:06:05 AM,85
11/29/2016 6:06:20 AM,85
11/29/2016 6:06:35 AM,85
11/29/2016 6:06:50 AM,85
11/29/2016 6:07:05 AM,85
11/29/2016 6:07:20 AM,85
11/29/2016 6:07:35 AM,85
11/29/2016 6:07:50 AM,85
11/29/2016 6:08:05 AM,85
11/29/2016 6:08:20 AM,85
11/29/2016 6:08:35 AM,85
11/29/2016 6:08:50 AM,85
11/29/2016 6:09:05 AM,85
11/29/2016 6:09:20 AM,85
11/29/2016 6:09:35 AM,85
11/29/2016 6:35:00 AM,90
11/29/2016 6:35:10 AM,86
11/29/2016 6:35:20 AM,81
11/29/2016 6:35:35 AM,81
11/29/2016 6:35:50 AM,81
11/29/2016 6:36:05 AM,81
11/29/2016 6:36:20 AM,81
11/29/2016 6:36:35 AM,81
11/29/2016 6:36:50 AM,81
11/29/2016 6:37:05 AM,81
11/29/2016 6:37:20 AM,81
11/29/2016 6:37:35 AM,81
11/29/2016 6:37:50 AM,81
11/29/2016 6:38:05 AM,81
11/29/2016 6:38:10 AM,56
11/29/2016 6:38:20 AM,59
11/29/2016 6:38:30 AM,64
11/29/2016 6:38:45 AM,64
11/29/2016 6:39:00 AM,64
11/29/2016 6:39:15 AM,64
11/29/2016 6:39:30 AM,63
11/29/2016 6:39:40 AM,63
11/29/2016 6:39:55 AM,63
11/29/2016 6:40:00 AM,61
11/29/2016 6:40:15 AM,61
11/29/2016 6:40:30 AM,61
11/29/2016 6:40:45 AM,61
11/29/2016 6:40:50 AM,62
11/29/2016 6:41:05 AM,62
11/29/2016 6:41:15 AM,70
11/29/2016 6:41:30 AM,70
11/29/2016 6:41:45 AM,70
11/29/2016 6:42:00 AM,70
11/29/2016 6:42:15 AM,70
11/29/2016 7:25:20 AM,70
11/29/2016 7:26:00 AM,95
11/29/2016 7:26:05 AM,105
11/29/2016 7:26:10 AM,106
11/29/2016 7:26:20 AM,105
11/29/2016 7:26:30 AM,105
11/29/2016 7:26:35 AM,104
11/29/2016 7:26:40 AM,103
11/29/2016 7:26:50 AM,101
11/29/2016 7:26:55 AM,98
11/29/2016 7:27:10 AM,97
11/29/2016 7:27:20 AM,96
11/29/2016 7:27:25 AM,93
11/29/2016 7:27:30 AM,90
11/29/2016 7:27:45 AM,89
11/29/2016 7:27:55 AM,91
11/29/2016 7:28:00 AM,92
11/29/2016 7:28:15 AM,92
11/29/2016 7:28:25 AM,90
11/29/2016 7:28:35 AM,89
11/29/2016 7:28:40 AM,88
11/29/2016 7:28:45 AM,86
11/29/2016 7:28:50 AM,85
11/29/2016 7:28:55 AM,84
11/29/2016 7:29:00 AM,88
11/29/2016 7:29:05 AM,90
11/29/2016 7:29:10 AM,91
11/29/2016 7:29:15 AM,101
11/29/2016 7:29:20 AM,104
11/29/2016 7:29:25 AM,107
11/29/2016 7:29:30 AM,109
11/29/2016 7:29:35 AM,110
11/29/2016 7:29:40 AM,112
11/29/2016 7:29:55 AM,113
11/29/2016 7:30:05 AM,106
11/29/2016 7:30:10 AM,102
11/29/2016 7:30:15 AM,100
11/29/2016 7:30:20 AM,99
11/29/2016 7:30:25 AM,100
11/29/2016 7:30:30 AM,98
11/29/2016 7:30:35 AM,100
11/29/2016 7:30:45 AM,101
11/29/2016 7:30:50 AM,103
11/29/2016 7:30:55 AM,102
11/29/2016 7:31:00 AM,96
11/29/2016 7:31:05 AM,97
11/29/2016 7:31:10 AM,97
11/29/2016 7:31:25 AM,103
11/29/2016 7:31:30 AM,102
11/29/2016 7:31:35 AM,100
11/29/2016 7:31:40 AM,99
11/29/2016 7:31:50 AM,98
11/29/2016 7:31:55 AM,98
11/29/2016 7:32:00 AM,97
11/29/2016 7:32:15 AM,97
