Time,Value
11/14/2016 6:33:35 AM,70
11/14/2016 6:33:50 AM,70
11/14/2016 8:47:00 AM,70
11/14/2016 8:47:15 AM,70
11/14/2016 10:47:05 AM,61
11/14/2016 10:47:10 AM,62
11/14/2016 10:47:20 AM,69
11/14/2016 10:47:35 AM,69
11/14/2016 10:47:50 AM,69
11/14/2016 10:48:35 AM,69
11/14/2016 10:48:50 AM,69
11/14/2016 11:12:40 AM,69
11/14/2016 11:12:55 AM,69
11/14/2016 11:14:10 AM,69
11/14/2016 11:14:25 AM,69
11/14/2016 1:04:05 PM,70
11/14/2016 1:04:20 PM,70
11/14/2016 1:34:30 PM,65
11/14/2016 1:34:45 PM,65
11/14/2016 1:35:00 PM,65
11/14/2016 1:35:15 PM,65
11/14/2016 6:36:30 PM,70
11/14/2016 6:36:45 PM,70
11/14/2016 7:43:30 PM,96
11/14/2016 7:43:35 PM,105
11/14/2016 7:43:50 PM,105
11/14/2016 7:44:05 PM,105
11/14/2016 7:44:20 PM,105
11/14/2016 7:44:35 PM,105
11/14/2016 7:44:40 PM,105
11/14/2016 7:44:55 PM,105
11/14/2016 7:45:10 PM,105
11/14/2016 7:45:25 PM,105
11/14/2016 7:45:40 PM,105
11/14/2016 7:45:55 PM,105
11/14/2016 7:46:10 PM,105
11/14/2016 7:46:25 PM,105
11/14/2016 7:46:30 PM,105
11/14/2016 7:46:45 PM,105
11/14/2016 7:47:00 PM,105
11/14/2016 7:47:15 PM,105
11/14/2016 7:47:30 PM,105
11/14/2016 7:47:45 PM,105
11/14/2016 7:48:00 PM,105
11/14/2016 7:48:15 PM,105
11/14/2016 7:48:30 PM,105
11/14/2016 7:48:45 PM,105
11/14/2016 7:49:00 PM,105
11/14/2016 7:49:15 PM,105
11/14/2016 7:49:30 PM,105
11/14/2016 7:49:45 PM,105
11/14/2016 7:50:00 PM,105
11/14/2016 7:50:15 PM,105
11/14/2016 7:53:30 PM,62
11/14/2016 7:53:45 PM,62
11/14/2016 7:54:00 PM,62
11/14/2016 7:54:15 PM,62
11/14/2016 7:54:30 PM,62
11/14/2016 7:54:45 PM,62
11/14/2016 7:55:00 PM,62
11/14/2016 7:55:15 PM,62
11/14/2016 7:55:30 PM,62
11/14/2016 7:55:40 PM,63
11/14/2016 7:55:55 PM,63
11/14/2016 7:56:10 PM,63
11/14/2016 7:56:20 PM,60
11/14/2016 7:56:35 PM,60
11/14/2016 7:56:40 PM,67
11/14/2016 7:56:55 PM,67
11/14/2016 7:57:10 PM,67
11/14/2016 7:57:20 PM,68
11/14/2016 7:57:35 PM,68
11/14/2016 7:57:40 PM,66
11/14/2016 7:57:55 PM,66
11/14/2016 7:58:10 PM,61
11/14/2016 7:58:20 PM,61
11/14/2016 7:58:30 PM,63
11/14/2016 7:58:45 PM,63
11/14/2016 7:58:50 PM,63
11/14/2016 7:59:05 PM,63
11/14/2016 7:59:20 PM,63
11/14/2016 7:59:35 PM,63
11/14/2016 7:59:50 PM,63
11/14/2016 8:00:05 PM,63
11/14/2016 8:00:10 PM,65
11/14/2016 8:00:25 PM,65
11/14/2016 8:00:40 PM,65
11/14/2016 8:00:50 PM,63
11/14/2016 8:01:00 PM,64
11/14/2016 8:01:15 PM,64
11/14/2016 8:01:30 PM,65
11/14/2016 8:01:45 PM,65
11/14/2016 8:02:00 PM,65
11/14/2016 8:02:15 PM,65
11/14/2016 8:02:30 PM,65
11/14/2016 8:02:40 PM,65
11/14/2016 8:02:55 PM,65
11/14/2016 8:03:10 PM,65
11/14/2016 8:03:25 PM,65
11/14/2016 8:03:40 PM,65
