time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
378656625009.0,,,nan,,,
378656625265,10,0.0,2.0,0.0,70,0
378656625521,10,0.0,,0.0,70,0
378656625777,10,0.0,,0.0,70,0
378656626033,10,0.0,,0.23828125,70,0
378656626289,10,0.0,,0.1796875,70,0
378656626545,10,0.0,,0.15625,70,0
378656626801,10,0.0,,0.22265625,70,0
378656627057,16,14833.759999999998,,0.28125,70,0
378656627313,33,14833.759999999998,,0.1953125,70,0
378656627569,47,14833.759999999998,,0.140625,70,0
378656627825,51,14833.759999999998,,0.24609375,81,0
378656628081,50,14833.759999999998,,0.1015625,80,0
378656628337,44,4913.5999999999995,,0.0625,79,0
378656628593,32,4913.5999999999995,,0.0546875,79,0
378656628849,21,4913.5999999999995,,0.1171875,80,0
378656629105,18,7211.04,,0.12109375,81,0
378656629361,19,7662.5599999999995,,0.1328125,76,0
378656629617,22,8074.2399999999998,,0.2421875,78,0
378656629873,25,8074.2399999999998,,0.11328125,78,0
378656630129,27,8074.2399999999998,,0.10546875,80,0
378656630385,27,8326.5599999999995,,0.12109375,80,0
378656630641,26,8326.5599999999995,,0.0390625,80,0
378656630897,26,8326.5599999999995,,0.03125,81,0
378656631153,25,9017.119999999999,,0.04296875,81,0
378656631409,25,9017.119999999999,,0.03515625,81,0
378656631665,25,9017.119999999999,,0.03125,81,0
378656631921,25,9017.119999999999,,0.03515625,81,0
378656632177,25,9017.119999999999,,0.03515625,81,0
378656632433,24,7875.04,,0.0234375,82,0
378656632689,22,7875.04,,0.01953125,82,0
378656632945,21,7875.04,,0.015625,81,0
378656633201,20,7875.04,,0.015625,81,0
378656633457,20,7875.04,,0.01953125,83,0
378656633713,20,7875.04,,0.18359375,84,0
378656633969,21,7875.04,,0.2578125,84,0
378656634225,21,7875.04,,0.0390625,85,0
378656634481,21,7875.04,5.0,0.015625,85,0
378656634737,20,7875.04,,0.015625,85,0
378656634993,19,7875.04,,0.015625,85,0
378656635249,16,7875.04,,0.015625,85,0
378656635505,13,7875.04,,0.0,85,0
378656635761,12,7875.04,,0.015625,85,0
378656636017,12,9402.2399999999998,,0.0234375,84,0
378656636273,13,9402.2399999999998,2.0,0.01953125,82,0
378656636529,14,9402.2399999999998,,0.01953125,81,0
378656636785,14,9402.2399999999998,,0.01953125,80,0
378656637041,14,9402.2399999999998,,0.0234375,80,0
378656637297,14,9402.2399999999998,,0.015625,80,0
378656637553,14,9402.2399999999998,,0.015625,80,0
378656637809,14,9402.2399999999998,,0.01953125,80,0
378656638065,14,7901.5999999999995,,0.015625,78,0
378656638321,13,7901.5999999999995,,0.015625,77,0
378656638577,12,7901.5999999999995,,0.0234375,77,0
378656638833,12,7901.5999999999995,,0.015625,77,0
378656639089,12,9442.0799999999999,,0.0234375,76,0
378656639345,11,9442.0799999999999,,0.0234375,76,0
378656639601,11,9442.0799999999999,,0.0703125,76,0
378656639857,11,9442.0799999999999,,0.08203125,77,0
378656640113,11,9442.0799999999999,,0.1796875,77,0
378656640369,11,9442.0799999999999,,0.0859375,78,0
378656640625,11,9442.0799999999999,,0.01953125,78,0
378656640881,11,9442.0799999999999,,0.02734375,79,0
378656641137,11,9442.0799999999999,,0.09375,79,0
378656641393,11,9442.0799999999999,,0.015625,82,0
378656641649,11,9442.0799999999999,,0.04296875,83,0
378656641905,11,9442.0799999999999,,0.171875,86,0
378656642161,11,9442.0799999999999,,0.140625,88,0
378656642417,11,7861.7599999999993,,0.15625,88,0
378656642673,9,7861.7599999999993,,0.24609375,88,0
378656642929,8,7861.7599999999993,,0.265625,87,0
378656643185,8,7861.7599999999993,,0.2578125,86,0
378656643441,8,7861.7599999999993,,0.10546875,86,0
378656643697,8,7861.7599999999993,,0.02734375,86,0
378656643953,8,7728.96,,0.01953125,86,0
378656644209,8,7728.96,,0.0,86,0
378656644465,8,7728.96,,0.140625,84,0
378656644721,8,7728.96,,0.390625,83,0
378656644977,8,7728.96,,0.4765625,82,0
378656645233,8,7728.96,,0.46484375,82,42
378656645489,8,7728.96,,0.3671875,82,60
378656645745,8,7728.96,,0.40625,82,87
378656646001,8,7011.8399999999992,,0.41796875,81,110
378656646257,7,7011.8399999999992,,0.4140625,82,117
378656646513,7,7011.8399999999992,,0.3828125,83,116
378656646769,7,7011.8399999999992,,0.4140625,84,116
378656647025,7,7011.8399999999992,,0.328125,88,115
378656647281,7,7011.8399999999992,,0.3046875,91,111
378656647537,7,6879.04,,0.42578125,92,108
378656647793,7,6879.04,,0.4453125,93,106
378656648049,7,6879.04,,0.421875,94,106
378656648305,7,6879.04,,0.4375,95,108
378656648561,7,6879.04,,0.1640625,96,111
378656648817,7,6068.96,,0.203125,96,93
378656649073,8,6068.96,,0.2421875,96,58
378656649329,8,6068.96,,0.4140625,96,48
378656649585,8,6693.1199999999999,,0.40234375,97,64
378656649841,9,6693.1199999999999,,0.37109375,97,75
378656650097,9,6693.1199999999999,,0.40234375,97,84
378656650353,9,5285.4399999999996,,0.3984375,98,99
378656650609,9,5285.4399999999996,,0.37109375,98,112
378656650865,10,6095.5199999999995,,0.40625,98,115
378656651121,11,6095.5199999999995,,0.3359375,99,112
378656651377,13,6095.5199999999995,,0.32421875,99,110
378656651633,13,6095.5199999999995,,0.3515625,99,110
378656651889,13,6095.5199999999995,,0.2734375,99,110
378656652145,13,6095.5199999999995,,0.125,99,108
378656652401,13,6095.5199999999995,,0.25390625,99,103
378656652657,13,6812.6399999999994,,0.296875,99,96
378656652913,12,6812.6399999999994,,0.2578125,100,91
378656653169,12,6812.6399999999994,,0.25390625,100,88
378656653425,12,6812.6399999999994,,0.2109375,99,83
378656653681,12,6812.6399999999994,,0.21484375,99,73
378656653937,12,6812.6399999999994,,0.1796875,99,61
378656654193,12,6812.6399999999994,,0.140625,99,46
378656654449,12,6812.6399999999994,,0.046875,99,0
378656654705,12,6812.6399999999994,,0.0625,98,0
378656654961,12,7330.5599999999995,,0.07421875,98,0
378656655217,12,7330.5599999999995,,0.09765625,97,0
378656655473,12,7330.5599999999995,,0.02734375,96,0
378656655729,12,7330.5599999999995,,0.01953125,95,0
378656655985,12,7702.3999999999996,,0.02734375,93,0
378656656241,12,7702.3999999999996,,0.05078125,93,0
378656656497,13,7702.3999999999996,,0.2109375,92,0
378656656753,13,8233.6000000000004,,0.03125,91,0
378656657009,13,8233.6000000000004,,0.0859375,91,0
378656657265,14,8233.6000000000004,,0.05859375,90,0
378656657521,14,8233.6000000000004,,0.046875,90,0
378656657777,14,8499.1999999999989,,0.046875,89,0
378656658033,13,8499.1999999999989,,0.0390625,88,0
378656658289,13,8499.1999999999989,,0.0234375,86,0
378656658545,13,8499.1999999999989,,0.03515625,86,0
378656658801,13,8499.1999999999989,,0.08984375,84,0
378656659057,13,9096.7999999999993,,0.2109375,83,0
378656659313,13,9096.7999999999993,,0.07421875,83,0
378656659569,12,9096.7999999999993,,0.2109375,82,0
378656659825,12,9096.7999999999993,,0.08203125,82,0
378656660081,12,9096.7999999999993,,0.03125,82,0
378656660337,12,9096.7999999999993,,0.0234375,83,0
378656660593,12,9096.7999999999993,,0.01953125,83,0
378656660849,12,9096.7999999999993,,0.01953125,83,0
378656661105,12,8751.5200000000004,,0.0234375,84,0
378656661361,11,8751.5200000000004,,0.11328125,85,0
378656661617,11,8751.5200000000004,,0.0546875,87,0
378656661873,10,8751.5200000000004,,0.0390625,88,0
378656662129,11,10517.76,,0.08984375,90,0
378656662385,11,10517.76,,0.078125,91,0
378656662641,11,10517.76,,0.04296875,92,0
378656662897,11,10517.76,,0.03515625,91,0
378656663153,11,10517.76,,0.02734375,89,0
378656663409,11,11234.879999999999,,0.015625,88,0
378656663665,12,11234.879999999999,,0.03125,87,0
378656663921,12,11234.879999999999,,0.046875,86,0
378656664177,13,11234.879999999999,,0.01953125,86,0
378656664433,13,11234.879999999999,,0.0234375,85,0
378656664689,12,11062.24,,0.015625,84,0
378656664945,12,11062.24,,0.0,83,0
378656665201,12,11062.24,,0.0,83,0
378656665457,12,11062.24,,0.0,82,0
378656665713,12,11062.24,,0.015625,81,0
378656665969,12,11062.24,,0.0,81,0
378656666225,12,10384.959999999999,,0.0,78,0
378656666481,12,10384.959999999999,,0.0,76,0
378656666737,11,10384.959999999999,,0.0,76,0
378656666993,11,10384.959999999999,,0.01953125,75,0
378656667249,11,10384.959999999999,,0.015625,74,0
378656667505,11,10384.959999999999,,0.02734375,74,0
378656667761,11,10384.959999999999,,0.03125,75,0
378656668017,11,10384.959999999999,,0.0234375,75,0
378656668273,11,10384.959999999999,,0.02734375,75,0
378656668529,11,10384.959999999999,,0.02734375,75,0
378656668785,11,8658.5599999999995,,0.015625,74,0
378656669041,10,8658.5599999999995,,0.0,73,0
378656669297,10,8658.5599999999995,,0.015625,73,0
378656669553,10,8658.5599999999995,,0.02734375,73,0
378656669809,10,8658.5599999999995,,0.015625,73,0
378656670065,10,8658.5599999999995,,0.0234375,74,0
378656670321,10,8658.5599999999995,,0.015625,74,0
378656670577,10,8658.5599999999995,,0.015625,74,0
378656670833,10,8658.5599999999995,,0.015625,73,0
378656671089,10,8658.5599999999995,,0.0,72,0
378656671345,10,6719.6799999999994,,0.0,71,0
378656671601,9,6719.6799999999994,,0.0,70,0
378656671857,9,6719.6799999999994,,0.0,70,0
378656672113,8,6719.6799999999994,,0.015625,69,0
378656672369,8,6719.6799999999994,,0.0,69,0
378656672625,8,6719.6799999999994,,0.01953125,69,0
378656672881,9,6719.6799999999994,,0.015625,70,0
378656673137,9,6228.3199999999997,,0.015625,70,0
378656673393,9,6228.3199999999997,,0.0,70,0
378656673649,9,6228.3199999999997,,0.0,69,0
378656673905,9,6228.3199999999997,,0.0,69,0
378656674161,9,6228.3199999999997,,0.0,68,0
378656674417,9,6228.3199999999997,,0.015625,68,0
